client,BPA,cost
AirMexico,implementation.csv,190273.18667741932
Alitalia,implementation.csv,176518.4984838709
American,implementation.csv,158178.9142258064
SwissAir,implementation.csv,155886.46619354835
AirChina,implementation.csv,245291.93945161282
EmiratesAirlines,implementation.csv,226952.3551935483
AirFrance,implementation.csv,208612.77093548383
TACA,implementation.csv,192565.63470967737
VirginAtlantic,implementation.csv,162763.81029032252
BA,implementation.csv,190273.18667741932
AirJapan,implementation.csv,224659.90716129026
AirMexico,sales.csv,149416.97556082878
Alitalia,sales.csv,52310.89712992342
American,sales.csv,15264.88912745975
SwissAir,sales.csv,41094.134404917306
AirChina,sales.csv,97238.34065557492
EmiratesAirlines,sales.csv,177875.7537508296
AirFrance,sales.csv,61358.51187942423
TACA,sales.csv,2113.939775800304
VirginAtlantic,sales.csv,188355.06157024248
BA,sales.csv,31489.094929362996
AirJapan,sales.csv,70907.59121563601
AirMexico,ITDemand.csv,14436.265714285713
Alitalia,ITDemand.csv,28872.531428571427
American,ITDemand.csv,43308.79714285714
SwissAir,ITDemand.csv,14436.265714285713
AirChina,ITDemand.csv,14436.265714285713
EmiratesAirlines,ITDemand.csv,7218.132857142857
AirFrance,ITDemand.csv,28872.531428571427
TACA,ITDemand.csv,7218.132857142857
VirginAtlantic,ITDemand.csv,14436.265714285713
AirJapan,ITDemand.csv,14436.265714285713
BA,ITDemand.csv,14436.265714285713
AirMexico,payroll.csv,0.0
Alitalia,payroll.csv,0.0
American,payroll.csv,0.0
SwissAir,payroll.csv,0.0
AirChina,payroll.csv,0.0
EmiratesAirlines,payroll.csv,0.0
AirFrance,payroll.csv,0.0
TACA,payroll.csv,0.0
VirginAtlantic,payroll.csv,0.0
BA,payroll.csv,0.0
AirJapan,payroll.csv,0.0
AirMexico,phones.csv,1382736.4982765329
Alitalia,phones.csv,2806685.3682556655
American,phones.csv,6591243.149633596
SwissAir,phones.csv,3264321.3927852153
AirChina,phones.csv,2514568.9504015986
EmiratesAirlines,phones.csv,3130800.0096674417
AirFrance,phones.csv,3044298.703749655
TACA,phones.csv,522749.3380867745
VirginAtlantic,phones.csv,3043014.307341579
AirJapan,phones.csv,2934734.105808595
BA,phones.csv,2983485.3259933786
