client,BPA,cost
AirMexico,ITDemand,285923.56999999983
AirMexico,implementation,713193.0816881721
AirMexico,payroll,220089.05910457985
AirMexico,phones,8286.523426328587
AirMexico,sales,3611590.1130344914
Alitalia,ITDemand,571847.1399999997
Alitalia,implementation,661636.9553010754
Alitalia,payroll,229748.04333056606
Alitalia,phones,16820.026146249133
Alitalia,sales,1264418.0366338815
American,ITDemand,857770.7099999995
American,implementation,592895.453451613
American,payroll,191019.52830304956
American,phones,39500.288620531865
American,sales,368970.9448499531
SwissAir,ITDemand,285923.56999999983
SwissAir,implementation,584302.7657204302
SwissAir,payroll,140471.87283287264
SwissAir,phones,19562.567218046017
SwissAir,sales,993295.2327768739
AirChina,ITDemand,285923.56999999983
AirChina,implementation,919417.5872365593
AirChina,payroll,79740.62376980291
AirChina,phones,15069.418172293117
AirChina,sales,2350369.0153103396
EmiratesAirlines,ITDemand,142961.78499999992
EmiratesAirlines,implementation,850676.0853870969
EmiratesAirlines,payroll,9041.79673550784
EmiratesAirlines,phones,18762.394466042802
EmiratesAirlines,sales,4299473.411128727
AirFrance,ITDemand,571847.1399999997
AirFrance,implementation,781934.5835376346
AirFrance,payroll,105631.63899536972
AirFrance,phones,18244.00567773123
AirFrance,sales,1483109.8944578904
TACA,ITDemand,142961.78499999992
TACA,implementation,721785.7694193549
TACA,payroll,145764.2555637245
TACA,phones,3132.7549692606076
TACA,sales,51096.49666762656
VirginAtlantic,ITDemand,285923.56999999983
VirginAtlantic,implementation,610080.8289139785
VirginAtlantic,payroll,134299.99792808914
VirginAtlantic,phones,18236.308491074567
VirginAtlantic,sales,4552771.032566853
BA,ITDemand,285923.56999999983
BA,implementation,713193.0816881721
BA,payroll,185464.8408887444
BA,phones,17879.56062255285
BA,sales,761129.741037981
AirJapan,ITDemand,285923.56999999983
AirJapan,implementation,842083.3976559141
AirJapan,payroll,361517.57254769397
AirJapan,phones,17587.402189889188
AirJapan,sales,1713922.7615353956
